Gene_Symbol	entrez_ID
EIF4G1	1981
EIF4G2	1982
EIF5	1983
EIF5A	1984
ELANE	1991
SERPINB1	1992
ELAVL2	1993
ELAVL1	1994
ELAVL3	1995
ELAVL4	1996
ELF1	1997
ELF2	1998
ELF3	1999
ELF4	2000
ELF5	2001
ELK1	2002
ELK3	2004
ELK4	2005
ELN	2006
EML1	2009
EMD	2010
MARK2	2011
EMP1	2012
EMP2	2013
EMP3	2014
ADGRE1	2015
EMX1	2016
CTTN	2017
EMX2	2018
EN1	2019
EN2	2020
ENDOG	2021
ENG	2022
ENO1	2023
ENO2	2026
ENO3	2027
ENPEP	2028
ENSA	2029
SLC29A1	2030
EP300	2033
EPAS1	2034
EPB41	2035
EPB41L1	2036
EPB41L2	2037
EPB42	2038
DMTN	2039
STOM	2040
EPHA1	2041
EPHA3	2042
EPHA4	2043
EPHA5	2044
EPHA7	2045
EPHA8	2046
EPHB1	2047
EPHB2	2048
EPHB3	2049
EPHB4	2050
EPHB6	2051
EPHX1	2052
EPHX2	2053
STX2	2054
CLN8	2055
EPO	2056
EPOR	2057
EPRS	2058
EPS8	2059
EPS15	2060
NR2F6	2063
ERBB2	2064
ERBB3	2065
ERBB4	2066
ERCC1	2067
ERCC2	2068
EREG	2069
EYA4	2070
ERCC3	2071
ERCC4	2072
ERCC5	2073
ERCC6	2074
ERF	2077
ERG	2078
ERH	2079
ERN1	2081
ERV3-1	2086
FBL	2091
ESD	2098
ESR1	2099
ESR2	2100
ESRRA	2101
ESRRB	2103
ESRRG	2104
ETF1	2107
ETFA	2108
ETFB	2109
ETFDH	2110
ETS1	2113
ETS2	2114
ETV1	2115
ETV2	2116
ETV3	2117
ETV4	2118
ETV5	2119
ETV6	2120
EVC	2121
MECOM	2122
EVI2A	2123
EVI2B	2124
EVPL	2125
EVX1	2128
EWSR1	2130
EXT1	2131
EXT2	2132
EXTL1	2134
EXTL2	2135
EXTL3	2137
EYA1	2138
EYA2	2139
EYA3	2140
EZH1	2145
EZH2	2146
F2	2147
F2R	2149
F2RL1	2150
F2RL2	2151
F3	2152
F5	2153
F7	2155
F8	2157
F9	2158
F10	2159
