,logFC,AveExpr,t,P.Value,adj.P.Val,B
SLC25A38,0.0616103239446033,7.01487882689322,8.49268550758723,2.14438463989124e-17,1.0378436438276e-16,27.3109395064479
POP5,-0.0615947075931078,7.14763071179289,-6.65222568355012,2.95424833097686e-11,1.02921172996209e-10,13.413914279638
ERP29,-0.0615789069333776,8.00895111402115,-4.43521832144564,9.24214144266507e-06,2.17071146270513e-05,1.1440320069596
CEP68,0.0615577815886275,6.99075137569858,9.02874705234436,1.87473512983645e-19,9.9605894408566e-19,31.9898943459433
RRM1,-0.0615544658594478,7.2727680825305,-5.64872977395651,1.63619214714229e-08,4.79801289044083e-08,7.2539740878328
BRI3,0.06149281343761,7.17874048524989,6.3465139452525,2.24513112071047e-10,7.42178825486394e-10,11.4312302612571
TM2D3,0.061479945775337,7.1655557088985,6.45914722122934,1.07479903055423e-10,3.6139628349265e-10,12.1509006483478
GBAS,0.0614681289487042,7.31540786345953,5.53128728495787,3.21479363607536e-08,9.20587052739736e-08,6.59854850788208
MBP,0.0614480294477089,7.4689595350093,4.9570386984849,7.21038678756437e-07,1.8508281448349e-06,3.59154737372987
SATB1,0.061440272014182,7.04671846835602,7.71987613134719,1.21355842399893e-14,5.14211583851708e-14,21.066366015068
FOXO3,0.0614226021913273,7.20844607396526,6.03381873948743,1.62671219957091e-09,5.08131453257272e-09,9.49939346160261
NGFRAP1,0.0613532758758917,7.68248003826293,4.42522848938932,9.67996394774672e-06,2.26942156947535e-05,1.09982439156876
SUPT16H,-0.0613340073771858,7.53076042391428,-4.80491825538004,1.55827569996926e-06,3.91597772094879e-06,2.85002297269375
CSRP1,0.0613115822352688,7.09405183534036,7.1054904259948,1.23527511689284e-12,4.65188637497328e-12,16.5244741670633
CREBRF,0.0612954739195359,7.20443630029242,5.94239542637275,2.85085763303802e-09,8.79467817520221e-09,8.95295407259241
CASP6,0.0612845606737207,7.06904907355006,7.45594257625072,9.25025456359009e-14,3.71966082140382e-13,19.0693245144543
TP53TG1,0.0612366758086755,7.35081643277403,5.34114806410277,9.32700193158942e-08,2.59168003823194e-07,5.56653043553589
PGK1,-0.0611345577707794,7.92181174362365,-4.38280649826527,1.17698609783204e-05,2.73460011088105e-05,0.913204520629909
DNAJC4,0.0611221534531126,7.12727676090666,6.71729818408899,1.89610938683088e-11,6.68497453394135e-11,13.847930740105
KIF18A,-0.0610766766656179,6.92636916177751,-11.8839656183465,1.80304741903095e-32,1.40463910981375e-31,61.6870264542668
DLX2,0.0610210957109003,6.96534705311167,9.56489153279271,1.2375703331253e-21,7.14475872677516e-21,36.9530447686241
CH17-360D5-2,0.0610162319498708,7.08891504107778,7.08029995392637,1.48138429420542e-12,5.56573552953645e-12,16.3462475194615
SLC9A3R1,-0.0609386816104678,7.02439450997391,-8.38134697958909,5.5401256712291e-17,2.64958968862185e-16,26.3748033052288
RPLP0,-0.0609386559499838,12.0603823366156,-9.0682951895156,1.30692702575286e-19,7.00131743870585e-19,32.3463450665049
PDHB,-0.0609183211623943,7.35693376193442,-5.40474955063385,6.55687636960118e-08,1.83854130988037e-07,5.90773298539385
PNKD,0.0608765235131485,7.39602813862881,5.22721830454989,1.73638882526966e-07,4.72537463981214e-07,4.96540400966767
ITGAV,0.0608686614709326,7.02890250655274,8.05390957161828,8.42026945126458e-16,3.78356235384828e-15,23.6928550001427
FAM96B,-0.0607928644305527,7.41306317579557,-5.22029363950034,1.8025040733481e-07,4.89705518414657e-07,4.92928424427888
METAP2,0.0607685884875411,7.73360645332606,4.49589199456239,6.96299105701435e-06,1.65342270197043e-05,1.414666312885
LAMTOR2,-0.0607681698559661,7.40596152669445,-5.21670581707969,1.83771047215883e-07,4.98851213811041e-07,4.91058857794998
HIGD1A,-0.060731636125416,7.2571392930508,-5.79637523678405,6.8682453564014e-09,2.06462456878157e-08,8.09743735403169
YWHAG,-0.0607251706577214,7.49234866406092,-4.8414431814834,1.29767813310422e-06,3.27893192991476e-06,3.02596311633342
PIN1,-0.060664905097342,7.24956704880137,-5.91655599849427,3.33583770338645e-09,1.02273715458022e-08,8.80001854571112
MELK,-0.0606454320932883,6.87824908006611,-19.1680037257145,3.11380055783255e-81,5.3833781836752e-80,173.471867843162
ORMDL2,-0.0606447861190114,7.09894854277985,-7.01409664372631,2.38097482845799e-12,8.82256919244089e-12,15.8808526345056
CA2,-0.0606420204863745,7.35168849303228,-4.76949331141957,1.85873466691785e-06,4.63500900743959e-06,2.68060958090831
MANF,-0.0606345412233147,7.42385186002271,-4.95930327604502,7.12693955173492e-07,1.83013467599357e-06,3.60276045353587
C1D,0.0606281580392387,7.37884716423104,5.29308045991731,1.21417367231285e-07,3.34363158653104e-07,5.31133525884662
DEPDC1B,-0.0606195156542355,6.87243301276165,-21.6795658334383,3.77317700956149e-103,8.13245418127486e-102,223.804288299857
ARL6IP6,0.0604835867024505,7.38253321805628,5.22933754731963,1.71662768706776e-07,4.6735640524548e-07,4.97646774351708
