	U_mannWhitney	p	comonLangEffectSize	differenceOfMedian	zScore	rankBiserialCorrelation	p_adj	reject
RARG_HUMAN.H11MO.0.B ,RARG	262221.0	2.391311647214983e-109	0.8893373673785038	0.00021927965000000007	22.21636561161315	0.778830760046672	8.630711002592008e-109	True
HOMEZ_M01429 ,HOMEZ	32621.0	2.56668960045095e-109	0.11013689523240984	-0.0001878192	-22.213186075664368	-0.7787086532982389	9.158415165245436e-109	True
KLF4_MA0039.3 ,KLF4	261376.0	9.004891171915107e-108	0.8865187366021762	0.00025466385	22.05276785091286	0.7730985265785689	3.1770065482936444e-107	True
TCF4_full ,TCF4	260665.0	1.864976860094602e-106	0.8841376550077334	0.00031127969999999994	21.915134930377274	0.7682753100154669	6.506697045218945e-106	True
FOSL1::JUND_MA1142.1 ,FOSL1,JUND	34263.5	2.909997365015369e-106	0.11618457113396467	-0.00019803115000000004	-21.89492493834436	-0.767566412503731	1.004108980895413e-105	True
E2F1_MA0024.2 ,E2F1	260342.0	3.022690355317928e-106	0.8827571703796163	0.00016695496000000001	21.893193301077247	0.7660841722519198	1.0316573604019884e-105	True
TFAP2C_full_3 ,TFAP2C	260088.5	2.1485824448524314e-105	0.8821330692209589	0.00042785954999999997	21.803613500101765	0.7643645022114889	7.254353631007135e-105	True
HOXC13_MA0907.1 ,HOXC13	34913.0	4.538276431337982e-105	0.1181586302336309	-0.00014456711500000001	-21.76936397918962	-0.7631603939977749	1.5159774462129003e-104	True
FOXP1_HUMAN.H11MO.0.A ,FOXP1	35151.0	1.241683035340727e-104	0.11922706428241935	-0.0003473752499999999	-21.723176979144775	-0.7615458714351613	4.1040891904946135e-104	True
HOXC11_M01329 ,HOXC11	35323.5	2.5238539376920455e-104	0.11904729601389304	-0.00016965757499999998	-21.690568574320007	-0.7603756817626788	8.255105587867732e-104	True
SOX15_MA1152.1 ,SOX15	35815.5	2.0233829887961685e-103	0.12147586356605974	-0.0003636474500000001	-21.594592849616586	-0.7570380973055111	6.549920190536051e-103	True
SOX9_DBD ,SOX9	35882.5	2.67463610224493e-103	0.12158101104387703	-0.00018338185	-21.581694622328076	-0.7565835888530106	8.569752409233757e-103	True
XBP1_HUMAN.H11MO.0.D ,XBP1	258756.5	5.603771250697247e-103	0.8774726616557675	0.0001909465	21.547469554584147	0.7553286028274496	1.777357750221147e-102	True
STAT1_MA0137.1 ,STAT1	36117.0	7.139495997961372e-103	0.12250359536537053	-0.00029545959999999997	-21.53625018389216	-0.7549928092692589	2.241801743359871e-102	True
FOSL1::JUNB_MA1137.1 ,FOSL1,JUNB	36234.0	1.1627865822310967e-102	0.12285634819417686	-0.00015086320000000004	-21.513638402069663	-0.7541991154044447	3.6149998695105384e-102	True
SOX9_full_2 ,SOX9	36260.5	1.29834252366157e-102	0.12288687488128511	-0.00020593109999999997	-21.508523232040865	-0.7540193471359183	3.996858357154245e-102	True
HOXA1_DBD ,HOXA1	36765.0	1.052531495522745e-101	0.1243012780506336	-0.00015351221499999997	-21.411216522946177	-0.7505969663256723	3.208688248486815e-101	True
E2F1_HUMAN.H11MO.0.A ,E2F1	257703.0	4.51834353744112e-101	0.874090983094999	0.000297498	21.341970160668943	0.7481819661899981	1.3641921834197228e-100	True
HOXC13_DBD_2 ,HOXC13	37269.5	8.541791276472183e-101	0.12609556888177353	-0.00014573754999999997	-21.31341703256226	-0.7471745855154261	2.554402343630729e-100	True
PRDM1_full ,PRDM1	38975.0	9.35625966960944e-98	0.13219412259517543	-0.00026354565	-20.983210234694564	-0.7356049711014029	2.771571260620155e-97	True
HOMEZ_DBD ,HOMEZ	39123.5	1.6966949385026425e-97	0.13224160855289935	-0.000161546005	-20.954888501615226	-0.7345975904268309	4.979086081213362e-97	True
HOXC11_MA0651.1 ,HOXC11	39459.0	6.509957710220842e-97	0.13274360296312376	-0.0001349883	-20.89076686107339	-0.7323216563102054	1.8927099268605042e-96	True
HOXC11_full_1 ,HOXC11	39594.0	1.1245887650905693e-96	0.13320150326974736	-0.000135020985	-20.86464203335906	-0.7314058556969582	3.2396410297104475e-96	True
RORA_HUMAN.H11MO.0.C ,RORA	255020.5	2.6900103405052505e-96	0.8649906384826201	0.00023451980000000004	20.822896316738788	0.7299846688193634	7.678756790169534e-96	True
MYC_MA0147.3 ,MYC	254781.0	4.309584496068365e-96	0.8630097956747076	0.00010833243	20.800302394974928	0.7283599706943804	1.2191076862751952e-95	True
PRDM1_MA0508.1 ,PRDM1	40335.5	2.2940576534936617e-95	0.13680704420264292	-0.0004670275	-20.719945320280647	-0.7263757360323447	6.431554492830444e-95	True
FOS_MA0476.1 ,FOS	40745.5	1.1878045004004847e-94	0.1381739614142675	-0.00014918929999999998	-20.640615691804438	-0.7235944156513716	3.300624894918161e-94	True
RUNX1_MA0002.1 ,RUNX1	40819.0	1.591055463828686e-94	0.13832320299568557	-0.00015769249999999997	-20.626482856395086	-0.7230958130952704	4.3823808389667317e-94	True
Myc_MA0147.1 ,MYC	253344.0	9.892965708562173e-94	0.8581764035492362	9.598973500000002e-05	20.537903983255728	0.7186117819444822	2.701209767381324e-93	True
